Unnamed: 0,categoria,asunto,preprocessed_text
20,TRANSPORTES,"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'seran', 'priorizadas', 'financiadas', 'canaria', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
21,TRANSPORTES,"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para la gomera, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'seran', 'priorizadas', 'financiadas', 'gomera', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
22,TRANSPORTES,"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para la palma, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'seran', 'priorizadas', 'financiadas', 'palma', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
23,TRANSPORTES,"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para lanzarote, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'seran', 'priorizadas', 'financiadas', 'lanzarote', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
24,TRANSPORTES,"Actuaciones incluidas en el anexo i del convenio de carreteras 2018-2027 que serán priorizadas y financiadas para tenerife, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'incluidas', 'anexo', 'convenio', 'carreteras', '20182027', 'seran', 'priorizadas', 'financiadas', 'tenerife', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
25,"AGRICULTURA, SILVICULTURA Y PESCA","Actuaciones para definir tallas mínimas en especies pesqueras de gran interés comercial para cumplir con la legislación europea y estatal y garantizar la sostenibilidad del sector pesquero a largo plazo, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['actuaciones', 'definir', 'tallas', 'minimas', 'especies', 'pesqueras', 'interes', 'comercial', 'cumplir', 'legislacion', 'europea', 'estatal', 'garantizar', 'sostenibilidad', 'sector', 'pesquero', 'plazo', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
26,TRABAJO Y EMPLEO,"Actuaciones para paliar la brecha digital de las pymes y autónomos, dirigida a la sra. consejera de economía, conocimiento y empleo.","['actuaciones', 'paliar', 'brecha', 'digital', 'pymes', 'autonomos', 'dirigida', 'consejera', 'economia', 'conocimiento', 'empleo']"
27,TRABAJO Y EMPLEO,"Actuaciones para paliar la brecha digital por falta de competencias digitales entre la población canaria, dirigida a la sra. consejera de economía, conocimiento y empleo.","['actuaciones', 'paliar', 'brecha', 'digital', 'falta', 'competencias', 'digitales', 'poblacion', 'canaria', 'dirigida', 'consejera', 'economia', 'conocimiento', 'empleo']"
28,TRABAJO Y EMPLEO,"Actuaciones para paliar la brecha digital por falta de conectividad, dirigida a la sra. consejera de economía, conocimiento y empleo.","['actuaciones', 'paliar', 'brecha', 'digital', 'falta', 'conectividad', 'dirigida', 'consejera', 'economia', 'conocimiento', 'empleo']"
29,ASUNTOS SOCIALES,"Actuaciones previstas del consejo canario del deporte y financiación prevista para las mismas, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['actuaciones', 'previstas', 'consejo', 'canario', 'deporte', 'financiacion', 'prevista', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
30,INDUSTRIA,"Actuaciones previstas en el puerto de caleta de sebo, la graciosa, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'previstas', 'puerto', 'caleta', 'sebo', 'graciosa', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
31,TRANSPORTES,"Actuaciones previstas para la mejora en el acceso al polígono industrial de güímar por la rotonda de el carretón, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'previstas', 'mejora', 'acceso', 'poligono', 'industrial', 'guimar', 'rotonda', 'carreton', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
32,INDUSTRIA,"Actuaciones previstas para mejorar de forma inmediata o a corto plazo las instalaciones del servicio de urgencias del hospital nuestra señora de los reyes, dirigida al sr. consejero de sanidad.","['actuaciones', 'previstas', 'mejorar', 'forma', 'inmediata', 'corto', 'plazo', 'instalaciones', 'servicio', 'urgencias', 'hospital', 'señora', 'reyes', 'dirigida', 'consejero', 'sanidad']"
33,TRANSPORTES,"Actuaciones previstas para ordenar la entrada y salida en la tf-42 a la altura del hospital del norte, en icod de los vinos, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'previstas', 'ordenar', 'entrada', 'salida', 'tf42', 'altura', 'hospital', 'norte', 'icod', 'vinos', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
34,MEDIO AMBIENTE,"Actuaciones previstas respecto a aguas este año en lanzarote, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","['actuaciones', 'previstas', 'aguas', 'año', 'lanzarote', 'dirigida', 'consejero', 'transicion', 'ecologica', 'lucha', 'cambio', 'climatico', 'planificacion', 'territorial']"
35,ASUNTOS SOCIALES,"Actuaciones que van a impulsar el gobierno y el ayuntamiento de las palmas de gran canaria para actuaciones en vivienda y carretera, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'impulsar', 'gobierno', 'ayuntamiento', 'palmas', 'canaria', 'actuaciones', 'vivienda', 'carretera', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
36,TRANSPORTES,"Actuaciones realizadas en el periodo 2021-2022 en el muelle de san cristóbal en las palmas de gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda","['actuaciones', 'realizadas', 'periodo', '20212022', 'muelle', 'san', 'cristobal', 'palmas', 'canaria', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
37,TRANSPORTES,"Actuaciones realizadas en el periodo 2021-2022 en el muelle del castillo del romeral, en gran canaria, dirigida al sr. consejero de obras públicas, transportes y vivienda","['actuaciones', 'realizadas', 'periodo', '20212022', 'muelle', 'castillo', 'romeral', 'canaria', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
38,VIDA POLÍTICA,"Actuaciones realizadas en la graciosa en 2021, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['actuaciones', 'realizadas', 'graciosa', '2021', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
39,ASUNTOS SOCIALES,"Actuaciones/obras previstas en el centro de salud de el puertito de güímar, dirigida al sr. consejero de sanidad.","['actuacionesobras', 'previstas', 'centro', 'salud', 'puertito', 'guimar', 'dirigida', 'consejero', 'sanidad']"
40,ASUNTOS SOCIALES,"Actualización del estudio de las patologías, dirigida al sr. consejero de sanidad.","['actualizacion', 'estudio', 'patologias', 'dirigida', 'consejero', 'sanidad']"
41,"PRODUCCIÓN, TECNOLOGÍA E INVESTIGACIÓN","Acuerdo al que se llegó con el estado en el marco de la hoja de ruta canarias progreso 2030, dirigida a la sra. consejera de economía, conocimiento y empleo.","['llego', 'marco', 'hoja', 'ruta', 'canarias', 'progreso', '2030', 'dirigida', 'consejera', 'economia', 'conocimiento', 'empleo']"
42,TRABAJO Y EMPLEO,"Acuerdos de la reunión entre la consejería de economía, conocimiento y empleo y la inspección de trabajo y seguridad social, dirigida a la sra. consejera de economía, conocimiento y empleo.","['acuerdos', 'reunion', 'consejeria', 'economia', 'conocimiento', 'empleo', 'inspeccion', 'seguridad', 'social', 'dirigida', 'consejera', 'economia', 'conocimiento', 'empleo']"
43,TRANSPORTES,"Acuerdos que se cerraron en la última reunión mantenida con la alcaldesa de san bartolomé de tirajana y la comisión del puerto de santa águeda, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['acuerdos', 'cerraron', 'ultima', 'reunion', 'mantenida', 'alcaldesa', 'san', 'bartolome', 'tirajana', 'comision', 'puerto', 'santa', 'agueda', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
44,EDUCACIÓN Y COMUNICACIÓN,"Administración y/o servicio que se encarga de los arreglos más urgentes del firme y las instalaciones del patio del ceip eduardo rivero, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['administracion', 'servicio', 'encarga', 'arreglos', 'urgentes', 'firme', 'instalaciones', 'patio', 'ceip', 'eduardo', 'rivero', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
45,ASUNTOS SOCIALES,"Afectación a las consultas de oncología en fuerteventura y a la sobrecarga de trabajo por el traslado de oncólogos desde fuerteventura al complejo hospitalario de gran canaria doctor negrín para pasar consultas, dirigida al sr. consejero de sanidad.","['afectacion', 'consultas', 'oncologia', 'fuerteventura', 'sobrecarga', 'traslado', 'oncologos', 'fuerteventura', 'complejo', 'hospitalario', 'canaria', 'doctor', 'negrin', 'pasar', 'consultas', 'dirigida', 'consejero', 'sanidad']"
46,ASUNTOS SOCIALES,"Agrupaciones del carnaval de tenerife que han acudido a ferias de turismo durante el último año, quién las ha seleccionado y conforme a qué criterio, dirigida a la sra. consejera de turismo, industria y comercio.","['agrupaciones', 'carnaval', 'tenerife', 'acudido', 'ferias', 'turismo', 'año', 'seleccionado', 'conforme', 'criterio', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
47,"AGRICULTURA, SILVICULTURA Y PESCA","Alegaciones remitidas a la subdirección general de caladero nacional y aguas de la unión europea incluidas a propuesta del sector recreativo en relación al real decreto de pesca recreativa en aguas exteriores, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['alegaciones', 'remitidas', 'subdireccion', 'caladero', 'nacional', 'aguas', 'union', 'europea', 'incluidas', 'propuesta', 'sector', 'recreativo', 'relacion', 'real', 'decreto', 'pesca', 'recreativa', 'aguas', 'exteriores', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
48,"AGRICULTURA, SILVICULTURA Y PESCA","Algún plan para mantener a flote la actividad ganadera, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['algun', 'plan', 'mantener', 'flote', 'actividad', 'ganadera', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
49,EDUCACIÓN Y COMUNICACIÓN,"Alguna acción encaminada a promover la bajada de los precios para la realización de los grados a distancia, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['accion', 'encaminada', 'promover', 'bajada', 'precios', 'realizacion', 'grados', 'distancia', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
50,"AGRICULTURA, SILVICULTURA Y PESCA","Aplicación en canarias del real decreto 1086/2020 de flexibilización en materia de higiene alimentaria en lo referente a establecimientos alimentarios pequeños, con poca producción o que elaboran productos tradicionales, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['aplicacion', 'canarias', 'real', 'decreto', '10862020', 'flexibilizacion', 'materia', 'higiene', 'alimentaria', 'referente', 'establecimientos', 'alimentarios', 'pequeños', 'produccion', 'elaboran', 'productos', 'tradicionales', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
51,"AGRICULTURA, SILVICULTURA Y PESCA","Aportaciones realizadas al proyecto de ley de pesca sostenible e investigación pesquera, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['aportaciones', 'realizadas', 'proyecto', 'ley', 'pesca', 'sostenible', 'investigacion', 'pesquera', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
52,ASUNTOS SOCIALES,"Aprobación del reglamento previsto en el artículo 24 de la ley 1/2019, de 30 de enero, de la actividad física y el deporte de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['aprobacion', 'reglamento', 'previsto', 'articulo', '24', 'ley', '12019', '30', 'enero', 'actividad', 'fisica', 'deporte', 'canarias', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
53,ASUNTOS SOCIALES,"Atención a la situación de pobreza de mayores canarios retornados de venezuela que no cumplen con los 10 años de residencia para poder acceder a una prestación no contributiva, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['atencion', 'situacion', 'pobreza', 'mayores', 'canarios', 'retornados', 'venezuela', 'cumplen', '10', 'años', 'residencia', 'acceder', 'prestacion', 'contributiva', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
54,EDUCACIÓN Y COMUNICACIÓN,"Ayudas a las que se puede acoger un joven pescador de canarias, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['ayudas', 'acoger', 'joven', 'pescador', 'canarias', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
55,"AGRICULTURA, SILVICULTURA Y PESCA","Cálculo del coste perdido en frutas y hortalizas en la palma a consecuencia de la erupción del volcán de cumbre vieja, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['calculo', 'coste', 'perdido', 'frutas', 'hortalizas', 'palma', 'consecuencia', 'erupcion', 'volcan', 'cumbre', 'vieja', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
56,ASUNTOS SOCIALES,"Cantidad ejecutada de los 5 millones de euros anunciados para auxiliar a familias en la palma, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['cantidad', 'ejecutada', '5', 'millones', 'euros', 'anunciados', 'auxiliar', 'familias', 'palma', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
57,ASUNTOS SOCIALES,"Cantidad gastada y abonada del bono turístico, dirigida a la sra. consejera de turismo, industria y comercio.","['cantidad', 'gastada', 'abonada', 'bono', 'turistico', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
58,ASUNTOS SOCIALES,"Cantidad para pagar a los comisionistas, de los 4 millones de euros abonados por el contrato de mascarillas, dirigida al sr. consejero de sanidad.","['cantidad', 'pagar', 'comisionistas', '4', 'millones', 'euros', 'abonados', 'contrato', 'mascarillas', 'dirigida', 'consejero', 'sanidad']"
59,ASUNTOS SOCIALES,"Celebración de concursos de oposiciones para las plazas recogidas en la ope de personal estatutario de los órganos de prestación de servicios sanitarios del scs para 2021, así como para las recogidas en la oferta de empleo adicional de estabilización del empleo temporal del personal estatutario de los órganos de prestación de servicios sanitarios del scs, dirigida al sr. consejero de sanidad.","['celebracion', 'concursos', 'oposiciones', 'plazas', 'recogidas', 'ope', 'personal', 'estatutario', 'organos', 'prestacion', 'servicios', 'sanitarios', 'scs', '2021', 'como', 'recogidas', 'oferta', 'empleo', 'adicional', 'estabilizacion', 'empleo', 'temporal', 'personal', 'estatutario', 'organos', 'prestacion', 'servicios', 'sanitarios', 'scs', 'dirigida', 'consejero', 'sanidad']"
60,ASUNTOS SOCIALES,"Celebración de encuentros con agencias, empresas o profesionales en la feria navartur 2022, dirigida a la sra. consejera de turismo, industria y comercio.","['celebracion', 'encuentros', 'agencias', 'empresas', 'profesionales', 'feria', 'navartur', '2022', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
61,EDUCACIÓN Y COMUNICACIÓN,"Centros escolares públicos adheridos al programa ecocomedores de canarias, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['centros', 'escolares', 'publicos', 'adheridos', 'programa', 'ecocomedores', 'canarias', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
62,ASUNTOS SOCIALES,"Cesión del ayuntamiento de san bartolomé de tirajana del suelo finalista para la reposición de viviendas de el matorral, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['cesion', 'ayuntamiento', 'san', 'bartolome', 'tirajana', 'suelo', 'finalista', 'reposicion', 'viviendas', 'matorral', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
63,TRABAJO Y EMPLEO,"Cobertura de los puestos de trabajo que queden vacantes tras el concurso de traslados, dirigida al sr. consejero de administraciones públicas, justicia y seguridad.","['cobertura', 'puestos', 'queden', 'vacantes', 'concurso', 'traslados', 'dirigida', 'consejero', 'administraciones', 'publicas', 'justicia', 'seguridad']"
64,EDUCACIÓN Y COMUNICACIÓN,"Cobro del complemento retributivo del personal docente coordinador del programa estela, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['cobro', 'complemento', 'retributivo', 'personal', 'docente', 'coordinador', 'programa', 'estela', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
65,ASUNTOS SOCIALES,"Colaboración, aportaciones económicas, organizativas o promocionales concretas al carnaval de santa cruz de tenerife, dirigida a la sra. consejera de turismo, industria y comercio.","['colaboracion', 'aportaciones', 'economicas', 'organizativas', 'promocionales', 'concretas', 'carnaval', 'santa', 'cruz', 'tenerife', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
66,EDUCACIÓN Y COMUNICACIÓN,"Colegios e institutos pendientes de retirada de amianto, dirigida a la sra. consejera de educación, universidades, cultura y deportes.","['colegios', 'institutos', 'pendientes', 'retirada', 'amianto', 'dirigida', 'consejera', 'educacion', 'universidades', 'cultura', 'deportes']"
67,ASUNTOS SOCIALES,"Comienzo de estudios de la viruela del mono en el complejo hospitalario universitario de gran canaria doctor negrín, dirigida al sr. consejero de sanidad.","['comienzo', 'estudios', 'viruela', 'mono', 'complejo', 'hospitalario', 'universitario', 'canaria', 'doctor', 'negrin', 'dirigida', 'consejero', 'sanidad']"
68,"AGRICULTURA, SILVICULTURA Y PESCA","Comunicación a los pescadores recreativos de la forma de proceder para el tratamiento de pescado contaminado o afectado por ciguatoxinas, dirigida a la sra. consejera de agricultura, ganadería y pesca.","['comunicacion', 'pescadores', 'recreativos', 'forma', 'proceder', 'tratamiento', 'pescado', 'contaminado', 'afectado', 'ciguatoxinas', 'dirigida', 'consejera', 'agricultura', 'ganaderia', 'pesca']"
69,ASUNTOS SOCIALES,"Conclusiones de la feria navartur 2022, dirigida a la sra. consejera de turismo, industria y comercio.","['conclusiones', 'feria', 'navartur', '2022', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
70,ASUNTOS SOCIALES,"Conclusiones de la reunión mantenida con tui el 24 de marzo, dirigida a la sra. consejera de turismo, industria y comercio.","['conclusiones', 'reunion', 'mantenida', 'tui', '24', 'marzo', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
71,ASUNTOS SOCIALES,"Conclusiones que se desprenden del i symposium del camino de santiago entre volcanes, dirigida a la sra. consejera de turismo, industria y comercio.","['conclusiones', 'desprenden', 'symposium', 'camino', 'santiago', 'volcanes', 'dirigida', 'consejera', 'turismo', 'industria', 'comercio']"
72,INDUSTRIA,"Condiciones en que ha quedado la obra de la carretera lp-2, dirigida al sr. consejero de obras públicas, transportes y vivienda.","['condiciones', 'quedado', 'obra', 'carretera', 'lp2', 'dirigida', 'consejero', 'obras', 'publicas', 'transportes', 'vivienda']"
73,ASUNTOS SOCIALES,"Conocimiento de la situación en la que se encuentran las hospederías casa del mar, en tenerife, desde hace años sin agua caliente, dirigida a la sra. consejera de derechos sociales, igualdad, diversidad y juventud.","['conocimiento', 'situacion', 'encuentran', 'hospederias', 'casa', 'mar', 'tenerife', 'años', 'agua', 'caliente', 'dirigida', 'consejera', 'derechos', 'sociales', 'igualdad', 'diversidad', 'juventud']"
74,MEDIO AMBIENTE,"Conocimiento de los informes técnicos que alertan sobre el peligro en las viviendas 90 y 91 en puerto del rosario que tienen las obras de la instalación de tuberías de combustible, dirigida al sr. consejero de transición ecológica, lucha contra el cambio climático y planificación territorial.","['conocimiento', 'informes', 'tecnicos', 'alertan', 'peligro', 'viviendas', '90', '91', 'puerto', 'rosario', 'obras', 'instalacion', 'tuberias', 'combustible', 'dirigida', 'consejero', 'transicion', 'ecologica', 'lucha', 'cambio', 'climatico', 'planificacion', 'territorial']"
75,ASUNTOS SOCIALES,"Consejería encargada de recuperar el dinero que se pagó en el contrato de las mascarillas y desde qué fecha tiene encomendada esa misión, dirigida al sr. consejero de sanidad.","['consejeria', 'encargada', 'recuperar', 'dinero', 'pago', 'contrato', 'mascarillas', 'fecha', 'encomendada', 'mision', 'dirigida', 'consejero', 'sanidad']"
